id,metodo_pago,monto,fecha_pago,id_socio,id_membresia
1,transferencia,67.5,2025-01-18 10:59:14,9,2
2,tarjeta,67.5,2024-12-17 09:50:24,152,2
3,tarjeta,25.0,2025-07-11 11:08:15,130,1
4,tarjeta,108.0,2024-11-10 19:01:53,83,5
5,tarjeta,25.0,2025-11-02 20:11:50,21,1
6,transferencia,135.0,2024-12-30 06:44:45,223,8
7,transferencia,50.0,2024-04-25 03:53:21,114,7
8,tarjeta,67.5,2025-08-05 05:19:11,26,2
9,tarjeta,67.5,2024-01-29 09:57:20,165,2
10,efectivo,50.0,2025-12-13 12:28:27,78,7
11,efectivo,50.0,2025-08-12 10:03:41,26,7
12,transferencia,40.0,2025-10-16 01:14:07,194,4
13,tarjeta,40.0,2024-03-01 15:20:15,25,4
14,transferencia,135.0,2024-12-23 18:19:44,182,8
15,efectivo,108.0,2024-04-18 17:13:54,98,5
16,tarjeta,25.0,2024-04-10 15:35:10,170,1
17,efectivo,50.0,2024-10-15 05:04:55,76,7
18,transferencia,240.0,2024-11-20 17:11:57,89,3
19,tarjeta,135.0,2025-04-03 06:25:03,43,8
20,tarjeta,384.0,2024-08-06 17:05:11,283,6
21,efectivo,25.0,2025-01-05 15:48:14,188,1
22,efectivo,480.0,2024-08-05 05:00:35,116,9
23,tarjeta,108.0,2025-11-05 20:46:13,287,5
24,efectivo,384.0,2024-08-03 13:33:08,14,6
25,efectivo,67.5,2025-02-22 00:10:23,208,2
26,tarjeta,50.0,2024-08-20 15:46:01,20,7
27,transferencia,40.0,2024-06-21 16:05:44,148,4
28,transferencia,40.0,2025-01-27 22:12:37,80,4
29,transferencia,25.0,2025-12-03 20:02:08,214,1
30,efectivo,480.0,2025-12-14 23:59:50,116,9
31,tarjeta,135.0,2024-03-09 22:51:36,282,8
32,efectivo,108.0,2024-02-27 04:19:36,156,5
33,tarjeta,240.0,2024-01-07 23:40:21,89,3
34,efectivo,480.0,2025-11-30 01:01:13,85,9
35,transferencia,240.0,2025-09-29 05:14:42,251,3
36,tarjeta,25.0,2025-09-09 16:55:10,249,1
37,efectivo,50.0,2025-04-29 07:52:21,35,7
38,tarjeta,50.0,2025-12-08 22:56:12,77,7
39,transferencia,108.0,2025-08-20 16:04:40,155,5
40,tarjeta,480.0,2024-06-12 02:18:59,281,9
41,transferencia,108.0,2024-07-14 00:04:02,294,5
42,transferencia,50.0,2024-07-26 21:27:20,277,7
43,efectivo,108.0,2025-11-15 05:44:45,188,5
44,efectivo,135.0,2024-08-05 22:40:56,190,8
45,tarjeta,67.5,2025-01-07 11:43:44,86,2
46,efectivo,50.0,2024-01-06 19:14:26,212,7
47,efectivo,40.0,2025-04-05 00:45:15,88,4
48,efectivo,480.0,2025-07-27 09:39:32,298,9
49,transferencia,67.5,2024-08-02 05:18:52,282,2
50,efectivo,240.0,2024-06-25 05:50:33,100,3
51,transferencia,50.0,2025-10-25 11:02:46,46,7
52,tarjeta,67.5,2025-01-22 01:28:53,248,2
53,transferencia,480.0,2025-04-06 11:02:57,84,9
54,tarjeta,480.0,2025-10-09 09:53:05,144,9
55,tarjeta,480.0,2025-10-28 04:10:12,22,9
56,tarjeta,25.0,2024-06-01 23:05:12,94,1
57,tarjeta,40.0,2024-11-27 04:05:43,99,4
58,transferencia,135.0,2024-05-31 19:26:51,173,8
59,efectivo,40.0,2025-09-26 20:55:04,73,4
60,efectivo,240.0,2024-01-21 02:04:58,182,3
61,tarjeta,50.0,2025-07-14 15:41:38,103,7
62,efectivo,384.0,2025-10-10 22:24:55,77,6
63,efectivo,135.0,2025-07-23 22:46:59,167,8
64,transferencia,135.0,2025-06-25 04:58:39,202,8
65,tarjeta,384.0,2025-09-26 22:25:43,217,6
66,transferencia,25.0,2025-08-16 00:16:29,152,1
67,efectivo,50.0,2024-05-21 21:11:39,159,7
68,transferencia,384.0,2025-05-06 14:46:29,221,6
69,transferencia,40.0,2024-08-04 03:05:05,277,4
70,transferencia,25.0,2024-12-17 05:37:02,108,1
71,transferencia,50.0,2025-09-25 15:25:46,185,7
72,efectivo,384.0,2024-05-09 05:54:59,15,6
73,tarjeta,25.0,2025-05-15 00:21:07,30,1
74,transferencia,25.0,2025-06-22 23:00:40,80,1
75,tarjeta,25.0,2025-07-03 09:01:02,47,1
76,tarjeta,480.0,2025-07-30 19:25:08,17,9
77,tarjeta,480.0,2025-08-23 16:39:21,128,9
78,transferencia,384.0,2025-03-23 13:15:53,36,6
79,tarjeta,25.0,2024-08-21 06:24:19,144,1
80,efectivo,135.0,2025-04-22 12:48:28,160,8
81,transferencia,50.0,2025-03-27 17:50:52,160,7
82,tarjeta,40.0,2024-10-07 14:10:04,97,4
83,efectivo,135.0,2024-08-13 19:26:37,32,8
84,transferencia,40.0,2025-09-30 12:16:46,232,4
85,transferencia,480.0,2024-05-10 21:41:29,4,9
86,tarjeta,67.5,2025-07-30 12:34:20,162,2
87,transferencia,108.0,2025-12-25 15:10:58,148,5
88,transferencia,384.0,2024-09-26 17:24:00,224,6
89,transferencia,25.0,2025-05-05 03:32:43,95,1
90,transferencia,108.0,2024-08-08 14:14:37,254,5
91,transferencia,67.5,2024-01-07 05:14:30,299,2
92,transferencia,480.0,2024-10-23 23:20:41,133,9
93,transferencia,108.0,2024-09-16 23:17:00,218,5
94,tarjeta,25.0,2024-12-19 06:53:27,118,1
95,tarjeta,384.0,2024-07-13 02:27:36,101,6
96,tarjeta,50.0,2024-02-19 06:22:25,36,7
97,tarjeta,480.0,2024-10-27 09:44:34,261,9
98,efectivo,40.0,2025-09-05 03:17:57,165,4
99,efectivo,25.0,2025-08-24 04:34:55,85,1
100,transferencia,50.0,2025-09-08 19:52:46,63,7
101,tarjeta,67.5,2024-03-21 02:10:05,54,2
102,transferencia,67.5,2024-03-27 08:45:16,206,2
103,efectivo,40.0,2025-11-16 16:30:52,149,4
104,transferencia,50.0,2024-10-15 05:46:57,106,7
105,transferencia,25.0,2024-08-20 17:22:31,198,1
106,efectivo,40.0,2024-10-23 02:10:05,97,4
107,tarjeta,25.0,2024-07-30 09:46:05,9,1
108,efectivo,40.0,2025-05-10 04:10:34,50,4
